{{Mod
|id                               = SynthesisImplicitAvoidFire1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 60
|mod_groups                       = FireDamageAvoidance
|mod_type                         = FireDamageAvoidance
|game_mode                        = 0
|stat_text                        = (3-5)% chance to Avoid [[Fire Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_fire_damage_%
|stat1_min                        = 3
|stat1_max                        = 5
|tags                             = elemental, fire
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
