{{Passive skill
|id                                  = affliction_notable_advance_guard
|int_id                              = 35790
|name                                = Advance Guard
|is_notable                          = True
|icon                                = HoldingShieldDamage
|stat1_id                            = attack_skills_damage_+%_while_holding_shield
|stat1_value                         = 30
|stat2_id                            = movement_speed_+%_while_holding_shield
|stat2_value                         = 5
|stat3_id                            = ignore_armour_movement_penalties
|stat3_value                         = 1
|stat_text                           = [[Attack]] [[Skill|Skills]] deal 30% increased Damage while holding a [[Shield]]<br>5% increased [[Movement Speed]] while holding a [[Shield]]<br>Ignore all Movement Penalties from [[Armour]]
}}
