{{Passive skill
|id                                  = critical_strike_notable1641
|int_id                              = 53493
|name                                = Annihilation
|is_notable                          = True
|icon                                = Annihilation
|stat1_id                            = base_spell_critical_strike_multiplier_+
|stat1_value                         = 15
|stat2_id                            = spell_critical_strike_chance_+%
|stat2_value                         = 50
|stat_text                           = +15% to [[Critical Strike Multiplier]] for [[Spell Damage]]<br>50% increased [[Critical Strike Chance]] for [[Spell|Spells]]
|connections                         = spell_critical_chance943,spell_critical_chance943
}}
