{{Mod
|id                               = SpellAddedFireDamageUber1
|mod_groups                       = SpellAddedFireDamageUber
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Elder's
|mod_type                         = SpellAddedFireDamageUber
|stat_text                        = Adds (17-22) to (33-39) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 17
|stat1_max                        = 22
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 33
|stat2_max                        = 39
|spawn_weight1_tag                = helmet_elder
|spawn_weight1_value              = 400
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
