{{Mod
|id                               = AdditionalProjectilesUniqueWand_1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 42
|mod_groups                       = AdditionalProjectiles
|mod_type                         = AdditionalProjectiles
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] fire (2-3) additional Projectiles
|stat1_id                         = number_of_additional_projectiles
|stat1_min                        = 2
|stat1_max                        = 3
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
