{{Mod
|id                               = BlindOnHitShaperUber3
|domain                           = 1
|generation_type                  = 2
|required_level                   = 81
|name                             = of Shaping
|mod_groups                       = BlindOnHit
|mod_type                         = AttacksBlindOnHitChance
|game_mode                        = 0
|stat_text                        = (9-10)% chance to Blind Enemies on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = attacks_chance_to_blind_on_hit_%
|stat1_min                        = 9
|stat1_max                        = 10
|spawn_weight1_tag                = quiver_shaper
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|generation_weight1_tag           = attack_dagger
|generation_weight1_value         = 100
|generation_weight2_tag           = dagger
|generation_weight2_value         = 50
|generation_weight3_tag           = warstaff
|generation_weight3_value         = 100
|generation_weight4_tag           = staff
|generation_weight4_value         = 50
|generation_weight5_tag           = sceptre
|generation_weight5_value         = 50
|generation_weight6_tag           = wand
|generation_weight6_value         = 50
|generation_weight7_tag           = default
|generation_weight7_value         = 100
|tags                             = influence_mod, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
