{{Mod
|id                               = SynthesisImplicitCurseDuration2
|mod_groups                       = CurseDuration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 48
|mod_type                         = CurseDuration
|stat_text                        = [[Curse]] [[Skill|Skills]] have (16-20)% increased [[Skill]] Effect Duration
|stat1_id                         = curse_skill_effect_duration_+%
|stat1_min                        = 16
|stat1_max                        = 20
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
