{{Mod
|id                               = RecombinatorSpecialMaximumFrenzyCharge
|mod_groups                       = MaximumFrenzyCharges
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Sentinel's
|mod_type                         = MaximumFrenzyCharges
|stat_text                        = +1 to Maximum [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = max_frenzy_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = frenzy_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
