{{Passive skill
|id                                  = AscendancySpecialEldritch5
|int_id                              = 18054
|name                                = Fury of Nature
|ascendancy_class                    = Ranger
|icon                                = 
|stat1_id                            = ascendancy_non_damaging_elemental_ailment_proliferation_radius
|stat1_value                         = 20
|stat2_id                            = ranger_hidden_ascendancy_non_damaging_elemental_ailment_effect_+%_final
|stat2_value                         = 100
|stat_text                           = Non-Damaging Elemental Ailments you inflict spread to other enemies within 2 metres<br>Non-Damaging Elemental Ailments you inflict have 100% more Effect
}}
