{{Mod
|id                               = AvoidElementalDamagePhasingUnique__1
|mod_groups                       = AvoidElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AvoidElementalDamagePhasing
|stat_text                        = +(8-15)% chance to Avoid [[Elemental Damage]] from [[Hit|Hits]] while Phasing
|stat1_id                         = avoid_elemental_damage_while_phasing_%
|stat1_min                        = 8
|stat1_max                        = 15
|tags                             = elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
