{{Mod
|id                               = SocketedAttackCriticalMultiplierUber3
|mod_groups                       = SocketedCriticalMultiplier
|domain                           = 1
|generation_type                  = 2
|required_level                   = 84
|name                             = of the Elder
|granted_skill                    = ModSupportSocketedAttacksCriticalStrikeMultiplier
|mod_type                         = SocketedAttackCriticalMultiplier
|stat_text                        = [[Item socket|Socketed]] [[Attack|Attacks]] have +70% to [[Critical Strike Multiplier]]
|stat1_id                         = local_display_socketed_attacks_critical_strike_multiplier_+
|stat1_min                        = 70
|stat1_max                        = 70
|spawn_weight1_tag                = gloves_elder
|spawn_weight1_value              = 400
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = skill, damage, attack, critical, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
