{{Mod
|id                               = AddPowerChargeOnCrit1__
|mod_groups                       = AddPowerChargeOnCrit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AddPowerChargeOnCrit
|stat_text                        = Gain a [[Power Charge]] for each Enemy you [[Hit|hit]] with a [[Critical Strike]]
|stat1_id                         = gain_power_charge_per_enemy_you_crit
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
