{{Passive skill
|id                                  = shield_defences1063
|int_id                              = 1593
|name                                = Shield Block and Elemental Resistances with a Shield
|icon                                = ElementalResistance2
|stat1_id                            = shield_block_%
|stat1_value                         = 2
|stat2_id                            = resist_all_elements_+%_while_holding_shield
|stat2_value                         = 6
|stat_text                           = +2% Chance to [[Block]] [[Attack Damage]] while holding a [[Shield]]<br>+6% [[Elemental Resistance|Elemental Resistances]] while holding a [[Shield]]
|connections                         = shield_mastery34,shield_block32,shield_mastery34
}}
