{{Base item
|rarity_id                               = normal
|name                                    = Justified Ambition
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Everything I have done has been for Wraeclast. You would pledge your life to me if you saw things my way... and soon, you will."<br>- High Templar Venarius
|drop_level                              = 81
|tags                                    = maps_divination, unique_divination, maps_unique_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardJustifiedAmbition
|stack_size                              = 5
|description                             = {{c|unique|Synthesis Map}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
