{{Passive skill
|id                                  = AscendancyTrickster2
|int_id                              = 32947
|name                                = Swift Killer
|ascendancy_class                    = Trickster
|is_notable                          = True
|icon                                = UncontrolledVigour (Trickster)
|stat1_id                            = max_frenzy_charges
|stat1_value                         = 2
|stat2_id                            = base_charge_duration_+%
|stat2_value                         = 200
|stat_text                           = +2 to Maximum [[Frenzy Charge|Frenzy Charges]]<br>200% increased [[Charge]] Duration
|connections                         = AscendancyTrickster1
}}
