{{Passive skill
|id                                  = AscendancySaboteur5
|int_id                              = 63135
|name                                = Area of Effect, Elemental Resistances
|ascendancy_class                    = Saboteur
|icon                                = ElementalDamageElementalResistance (Saboteur)
|stat1_id                            = base_skill_area_of_effect_+%
|stat1_value                         = 8
|stat2_id                            = base_resist_all_elements_%
|stat2_value                         = 6
|stat_text                           = 8% increased Area of Effect<br>+6% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = AscendancySaboteur6,AscendancySaboteur6,AscendancySaboteurStart
}}
