{{Base item
|rarity_id                               = normal
|name                                    = The Return of the Rat
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = And he shall be heralded by the screams of the damned.
|drop_level                              = 50
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheReturnOfTheRat
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|Tavukai}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
