{{Passive skill
|id                                  = affliction_notable_cold_conduction
|int_id                              = 25563
|name                                = Cold Conduction
|is_notable                          = True
|icon                                = IncreasedNonDamageAilmentNotable
|stat1_id                            = lightning_ailment_effect_+%_against_chilled_enemies
|stat1_value                         = 25
|stat2_id                            = cold_ailment_effect_+%_against_shocked_enemies
|stat2_value                         = 25
|stat_text                           = 25% increased Effect of Lightning Ailments you inflict on Chilled Enemies<br>25% increased Effect of Cold Ailments you inflict on [[Shock|Shocked]] Enemies
}}
