{{Mod
|id                               = HellscapeDownsideCannotGainCharges
|domain                           = 1
|generation_type                  = 25
|required_level                   = 68
|mod_groups                       = CannotGainCharges
|mod_type                         = CannotGainCharges
|game_mode                        = 0
|stat_text                        = Cannot gain [[Charge|Charges]]
|stat1_id                         = cannot_gain_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = endurance_charge, frenzy_charge, power_charge
}}
