{{Mod
|id                               = RagingSpiritAddedPhys
|mod_groups                       = PhysicalDamage
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalDamage
|stat_text                        = Adds 4 to 5 [[Physical Damage]] to [[Attack|Attacks]] (Hidden)
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 4
|stat1_max                        = 4
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 5
|stat2_max                        = 5
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
