{{Mod
|id                               = HellscapeUpsideChanceToMaimOnHit3_
|mod_groups                       = GlobalMaimOnHit
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = GlobalMaimOnHit
|stat_text                        = [[Attack|Attacks]] have (9-10)% chance to Maim on [[Hit]]
|stat1_id                         = maim_on_hit_%
|stat1_min                        = 9
|stat1_max                        = 10
|spawn_weight1_tag                = quiver
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
