{{Mod
|id                               = MonsterMinionLife_
|mod_groups                       = MonsterIncreasedMinionLife
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MonsterIncreasedMinionLife
|stat_text                        = [[Minion|Minions]] have 70% reduced maximum [[Life]] (Hidden)
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = -70
|stat1_max                        = -70
|tags                             = resource, life
}}
