{{Mod
|id                               = NecropolisUnaffectedByCurses1
|mod_groups                       = NecropolisUnaffectedByCurses
|domain                           = 36
|generation_type                  = 34
|required_level                   = 46
|mod_type                         = NecropolisUnaffectedByCurses
|stat_text                        = Unaffected by [[Curse|Curses]]
|stat1_id                         = unaffected_by_curses
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 120
|stat2_max                        = 120
|spawn_weight1_tag                = default
|spawn_weight1_value              = 500
}}
