{{Base item
|rarity_id                               = normal
|name                                    = The Ruthless Ceinture
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = In combat, a warrior must first be resourceful,<br>and second, decisive.
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, unique_corrupted_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheRuthlessCeinture
|stack_size                              = 7
|description                             = {{c|unique|{{il|html=|Meginord's Girdle}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
