{{Mod
|id                               = PhysicalDamageTakenAsChaosDelve
|domain                           = 1
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Underground
|mod_groups                       = PhysicalDamageTakenAsElement
|mod_type                         = PhysicalDamageTakenAsChaosUber
|game_mode                        = 0
|stat_text                        = 10% of [[Physical Damage]] from [[Hit|Hits]] taken as [[Chaos Damage]]
|stat1_id                         = physical_damage_taken_%_as_chaos
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical, chaos
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
