{{Mod
|id                               = BlockWhileDualWieldingClawsUniqueClaw1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = BlockWhileDualWieldingClaws
|mod_type                         = BlockWhileDualWieldingClaws
|game_mode                        = 0
|stat_text                        = +8% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]] [[Claw|Claws]]
|stat1_id                         = block_while_dual_wielding_claws_%
|stat1_min                        = 8
|stat1_max                        = 8
|tags                             = block
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
