{{Item
|rarity_id                               = normal
|name                                    = Last Stand
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Return with your shield...<br>or on it.
|drop_level                              = 64
|tags                                    = unique_divination, armour_divination, boss_drop_card, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardLastStand
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|The Surrender}}}}
|stack_size_currency_tab                 = 5000
}}
