{{Mod
|id                               = AddedColdDamageImplicitQuiver1
|mod_groups                       = ColdDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 2
|mod_type                         = ColdDamage
|stat_text                        = Adds 2 to 3 [[Cold Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_cold_damage
|stat1_min                        = 2
|stat1_max                        = 2
|stat2_id                         = attack_maximum_added_cold_damage
|stat2_min                        = 3
|stat2_max                        = 3
|tags                             = elemental_damage, damage, elemental, cold, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
