{{Mod
|id                               = HasSixSocketsUnique__1
|mod_groups                       = Other
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = HasXSockets
|stat_text                        = Has 6 [[Item socket|Sockets]]
|stat1_id                         = local_has_X_sockets
|stat1_min                        = 6
|stat1_max                        = 6
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
