{{Passive skill
|id                                  = dagger_mobility2533
|int_id                              = 3424
|name                                = Dagger Damage and Movement Speed
|icon                                = masterydaggerdex
|stat1_id                            = dagger_hit_and_ailment_damage_+%
|stat1_value                         = 10
|stat2_id                            = base_movement_velocity_+%
|stat2_value                         = 3
|stat_text                           = [[Dagger]] [[Attack|Attacks]] deal 10% increased Damage with [[Hit|Hits]] and Ailments<br>3% increased [[Movement Speed]]
|connections                         = from_the_shadows471,dagger_damage2060,from_the_shadows471
}}
