{{Passive skill
|id                                  = AscendancySaboteur10
|int_id                              = 28535
|name                                = Perfect Crime
|reminder_text                       = (Summon two Triggerbots which follow you around and run towards enemies. Your Triggered Spells Trigger twice, once from each Triggerbot's location)
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = PerfectCrime (Saboteur)
|stat1_id                            = triggerbots_damage_+%_final_with_triggered_spells
|stat1_value                         = -35
|stat2_id                            = local_display_cast_triggerbots_on_gain_skill
|stat2_value                         = 20
|stat_text                           = 35% less Damage with Triggered [[Spell|Spells]]<br>Triggers [[Level]] 20 Summon Triggerbots when Allocated
|connections                         = AscendancySaboteur13
}}
