{{Mod
|id                               = LosePowerChargesOnBlockUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LosePowerChargesOnBlock
|mod_type                         = LosePowerChargesOnBlock
|game_mode                        = 0
|stat_text                        = Lose all [[Power Charge|Power Charges]] when you [[Block]]
|stat1_id                         = lose_all_power_charges_on_block
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
