{{Mod
|id                               = LifeGainPerTargetImplicitQuiver8
|domain                           = 1
|generation_type                  = 3
|required_level                   = 13
|mod_groups                       = LifeGainPerTarget
|mod_type                         = LifeGainPerTarget
|game_mode                        = 0
|stat_text                        = Gain (3-4) [[Life]] per Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = base_life_gain_per_target
|stat1_min                        = 3
|stat1_max                        = 4
|tags                             = resource, life, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
