{{Mod
|id                               = WeaponTreeSupportMaimHardMode
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|mod_groups                       = WeaponTreeSupportMaim
|granted_skill                    = SupportMaim
|mod_type                         = WeaponTreeSupportMaim
|game_mode                        = 2
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Maim Support|Level 10 Maim]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_maim
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 25
|spawn_weight2_tag                = shield
|spawn_weight2_value              = 25
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
}}
