{{Mod
|id                               = CurseLimitMaximumPowerChargesUnique__1
|mod_groups                       = AdditionalCurseOnEnemies
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CurseLimitMaximumPowerCharges
|stat_text                        = Your [[Curse]] Limit is equal to your maximum [[Power Charge|Power Charges]]
|stat1_id                         = has_curse_limit_equal_to_maximum_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
