{{Mod
|id                               = HellscapeDownsideMinionDamage2
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 25
|required_level                   = 45
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (33-30)% reduced Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = -33
|stat1_max                        = -30
|spawn_weight1_tag                = gloves
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
