{{Mod
|id                               = PoisonDamageWeaponSupportedUber2
|mod_groups                       = PoisonDamage
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of Shaping
|granted_skill                    = SupportChanceToPoison
|mod_type                         = PoisonDamageWeaponSupported
|stat_text                        = (24-26)% increased Damage with [[Poison]]<br>[[Item socket|Socketed]] Gems are Supported by [[Level]] 20 Chance to [[Poison]]
|stat1_id                         = base_poison_damage_+%
|stat1_min                        = 24
|stat1_max                        = 26
|stat2_id                         = local_display_socketed_gems_supported_by_X_lesser_poison
|stat2_min                        = 20
|stat2_max                        = 20
|spawn_weight1_tag                = dagger_shaper
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = rune_dagger_shaper
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = support, chaos_damage, poison, damage, chaos, ailment, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
