{{Passive skill
|id                                  = projectile_attacks_notable2434
|int_id                              = 8458
|name                                = Longshot
|is_notable                          = True
|icon                                = BarragingProjectilesNotable
|stat1_id                            = projectile_damage_+%_max_as_distance_travelled_increases
|stat1_value                         = 60
|stat2_id                            = base_projectile_speed_+%
|stat2_value                         = 30
|stat_text                           = Projectiles gain Damage as they travel farther, dealing up<br />to 60% increased Damage with [[Hit|Hits]] to targets<br>30% increased Projectile Speed
|connections                         = mastery_projectile202,projectile_attacks2433
}}
