{{Mod
|id                               = FortifyOnMeleeHitEldritchImplicit4
|domain                           = 1
|generation_type                  = 29
|required_level                   = 75
|mod_groups                       = FortifyOnMeleeHit
|mod_type                         = FortifyOnMeleeHit
|game_mode                        = 0
|stat_text                        = Melee [[Hit|Hits]] have (12-13)% chance to Fortify
|stat1_id                         = chance_to_fortify_on_melee_hit_+%
|stat1_min                        = 12
|stat1_max                        = 13
|spawn_weight1_tag                = no_tier_3_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = body_armour
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
