{{Passive skill
|id                                  = one_handed_physical_leech2355
|int_id                              = 29359
|name                                = Attack Damage and Leech
|icon                                = OneHandedPhysicalAndLeechNode
|stat1_id                            = attack_damage_+%
|stat1_value                         = 12
|stat2_id                            = life_leech_from_physical_attack_damage_permyriad
|stat2_value                         = 40
|stat3_id                            = attack_ailment_damage_+%
|stat3_value                         = 12
|stat_text                           = 12% increased [[Attack Damage]]<br>0.4% of Physical [[Attack Damage]] Leeched as [[Life]]<br>12% increased Damage with Ailments from [[Attack]] [[Skill|Skills]]
|connections                         = one_handed_physical_leech2354,dexterity853,one_handed_physical_leech2353,dexterity853
}}
