{{Mod
|id                               = AllDamageTakenCanChillUnique__1
|mod_groups                       = AllDamageCanChill
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AllDamageTakenCanChill
|stat_text                        = All Damage Taken from [[Hit|Hits]] can Chill you
|stat1_id                         = all_damage_taken_can_chill
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
