{{Mod
|id                               = StarterPassiveJewelUnique__13
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel13
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Templar's starting location, you gain:<br />+4% Chance to [[Block]] [[Attack]] and [[Spell Damage]]
|stat1_id                         = local_unique_jewel_spell_and_attack_block_%_with_passive_tree_connected_to_templar_start
|stat1_min                        = 4
|stat1_max                        = 4
|tags                             = block
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
