{{Mod
|id                               = LocalFlaskChargesUsedUnique__2
|mod_groups                       = LocalFlaskChargesUsed
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LocalFlaskChargesUsed
|stat_text                        = (20-10)% reduced [[Charge|Charges]] per use
|stat1_id                         = local_charges_used_+%
|stat1_min                        = -20
|stat1_max                        = -10
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
