{{Mod
|id                               = ShockOnMaxPowerChargesUnique__1
|mod_groups                       = ShockOnMaxPowerCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ShockOnMaxPowerCharges
|stat_text                        = [[Shock|Shocks]] you when you reach Maximum [[Power Charge|Power Charges]]
|stat1_id                         = shocked_for_4_seconds_on_reaching_maximum_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
