{{Mod
|id                               = ReducedElementalReflectTakenUberMaven_
|mod_groups                       = ReflectedDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 85
|name                             = Elevated Shaper's
|mod_type                         = ReducedElementalReflectTakenMaven
|stat_text                        = You and your [[Minion|Minions]] take 100% reduced Reflected [[Elemental Damage]]<br>(5-3)% reduced [[Elemental Damage]] taken
|stat1_id                         = elemental_reflect_damage_taken_and_minion_elemental_reflect_damage_taken_+%
|stat1_min                        = -100
|stat1_max                        = -100
|stat2_id                         = elemental_damage_taken_+%
|stat2_min                        = -5
|stat2_max                        = -3
|spawn_weight1_tag                = body_armour_shaper
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
