{{Mod
|id                               = AncestralItemChilledGround
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MonsterModGroundEffect
|mod_type                         = AncestralTrialChilledGroundTrail
|game_mode                        = 0
|stat_text                        = [[Chill|Chilled]] Ground Trail (Hidden)
|stat1_id                         = display_monster_has_chilled_ground_trail_daemon
|stat1_min                        = 1
|stat1_max                        = 1
}}
