{{Mod
|id                               = AddedLightningDamageUniqueRing19
|mod_groups                       = AddedLightningDamageSpellsAndAttacks
|domain                           = 1
|generation_type                  = 3
|required_level                   = 25
|mod_type                         = AddedLightningDamageSpellsAndAttacks
|stat_text                        = Adds 1 to (50-70) [[Lightning Damage]] to [[Spell|Spells]] and [[Attack|Attacks]]
|stat1_id                         = spell_and_attack_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = spell_and_attack_maximum_added_lightning_damage
|stat2_min                        = 50
|stat2_max                        = 70
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
