{{Passive skill
|id                                  = AscendancyNecromancer6
|int_id                              = 5415
|name                                = Minion Damage, Aura Effect
|ascendancy_class                    = Necromancer
|icon                                = IncreasedMinionDamageIncreasedSkillDuration (Necromancer)
|stat1_id                            = minion_damage_+%
|stat1_value                         = 10
|stat2_id                            = non_curse_aura_effect_+%
|stat2_value                         = 5
|stat_text                           = [[Minion|Minions]] deal 10% increased Damage<br>5% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|connections                         = AscendancyNecromancer12,AscendancyNecromancerStart
}}
