{{Mod
|id                               = FlaskIncreasedHealingCharges3
|domain                           = 2
|generation_type                  = 1
|required_level                   = 46
|name                             = Kieserite
|mod_groups                       = FlaskIncreasedHealingCharges
|mod_type                         = FlaskIncreasedHealingCharges
|game_mode                        = 0
|stat_text                        = (33-38)% increased Amount Recovered<br>(20-25)% increased [[Charge|Charges]] per use
|stat1_id                         = local_flask_amount_to_recover_+%
|stat1_min                        = 33
|stat1_max                        = 38
|stat2_id                         = local_charges_used_+%
|stat2_min                        = 20
|stat2_max                        = 25
|spawn_weight1_tag                = utility_flask
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 600
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
