{{Mod
|id                               = AbyssAvoidPoisonJewel1__
|mod_groups                       = ChanceToAvoidPoison
|domain                           = 13
|generation_type                  = 2
|required_level                   = 50
|name                             = of Tolerance
|mod_type                         = ChanceToAvoidPoison
|stat_text                        = (31-40)% chance to Avoid being [[Poison|Poisoned]]
|stat1_id                         = base_avoid_poison_%
|stat1_min                        = 31
|stat1_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 300
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
