{{Mod
|id                               = ElementalHitDisableColdUniqueJewel_1
|mod_groups                       = ElementalHitJewel
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ElementalHitDisableColdJewel
|stat_text                        = With 40 total [[Strength]] and [[Intelligence]] in Radius, Prismatic [[Skill|Skills]] cannot choose Cold<br>With 40 total [[Strength]] and [[Intelligence]] in Radius, Prismatic [[Skill|Skills]] deal 50% less [[Cold Damage]]
|stat1_id                         = local_unique_jewel_elemental_hit_cannot_roll_cold_damage_with_40_int_+_str_in_radius
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = local_jewel_effect_base_radius
|stat2_min                        = 1200
|stat2_max                        = 1200
|stat3_id                         = local_unique_jewel_elemental_hit_50%_less_cold_damage_per_40_str_and_int
|stat3_min                        = 1
|stat3_max                        = 1
|tags                             = elemental_damage, damage, elemental, cold, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
