{{Passive skill
|id                                  = affliction_notable_dread_march
|int_id                              = 55171
|name                                = Dread March
|is_notable                          = True
|icon                                = IncreaseMinionLifeNotable
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 10
|stat2_id                            = minion_additional_physical_damage_reduction_%
|stat2_value                         = 10
|stat3_id                            = minion_chaos_resistance_%
|stat3_value                         = 10
|stat4_id                            = minion_movement_speed_+%
|stat4_value                         = 10
|stat_text                           = [[Minion|Minions]] have 10% increased maximum [[Life]]<br>[[Minion|Minions]] have 10% additional [[Physical Damage]] Reduction<br>[[Minion|Minions]] have +10% to [[Chaos Resistance]]<br>[[Minion|Minions]] have 10% increased [[Movement Speed]]
}}
