{{Mod
|id                               = ReducedExtraDamageFromCrits4__
|domain                           = 1
|generation_type                  = 2
|required_level                   = 78
|name                             = of Obstruction
|mod_groups                       = ReducedExtraDamageFromCrits
|mod_type                         = ReducedExtraDamageFromCrits
|game_mode                        = 0
|stat_text                        = You take (51-60)% reduced Extra Damage from [[Critical strike|Critical Strikes]]
|stat1_id                         = base_self_critical_strike_multiplier_-%
|stat1_min                        = 51
|stat1_max                        = 60
|spawn_weight1_tag                = str_shield
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = str_dex_shield
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = str_int_shield
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = damage, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
