{{Mod
|id                               = ShockProliferationUnique__2
|mod_groups                       = ShockProliferation
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ShockProliferationShield
|stat_text                        = [[Shock|Shocks]] you inflict spread to other Enemies within 1.5 metres
|stat1_id                         = shock_proliferation_radius_is_at_least_15
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
