{{Mod
|id                               = FlaskPoisonDurationUnique__1
|mod_groups                       = FlaskPoisonDuration
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskPoisonDuration
|stat_text                        = (50-75)% increased Duration of [[Poison|Poisons]] you inflict during Effect
|stat1_id                         = local_poison_duration_+%_during_flask_effect
|stat1_min                        = 50
|stat1_max                        = 75
|tags                             = flask, poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
