{{Mod
|id                               = AnimalCharmChaosExplode2
|domain                           = 35
|generation_type                  = 1
|required_level                   = 81
|name                             = Occultist's
|mod_groups                       = AnimalCharmChaosExplode
|mod_type                         = AnimalCharmChaosExplode
|game_mode                        = 0
|stat_text                        = Cursed Enemies you or your [[Minion|Minions]] [[Kill]] have a (11-15)% chance to Explode, dealing a quarter of their maximum [[Life]] as [[Chaos Damage]]
|stat1_id                         = explode_cursed_enemies_for_25%_life_as_chaos_on_kill_chance_%
|stat1_min                        = 11
|stat1_max                        = 15
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 50
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
