{{Mod
|id                               = DisplaySupportedByManaLeechUnique__1
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportManaLeech
|mod_type                         = DisplaySupportedByManaLeech
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Mana Leech Support|Level 1 Mana Leech]]
|stat1_id                         = local_display_socketed_gems_supported_by_x_mana_leech
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
