{{Mod
|id                               = MercenaryModTrapMineChain
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Infamy
|mod_groups                       = TrapMineChain
|mod_type                         = TrapMineChain
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] used by your [[Trap|Traps]] and [[Mine|Mines]] Chain 2 additional times
|stat1_id                         = trap_mine_skill_num_of_additional_chains
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
