{{Mod
|id                               = BeltIncreasedFlaskChargedUsedUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = BeltFlaskCharges
|mod_type                         = BeltReducedFlaskChargesUsed
|game_mode                        = 0
|stat_text                        = (10-20)% increased [[Flask]] [[Charge|Charges]] used
|stat1_id                         = flask_charges_used_+%
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
