{{Mod
|id                               = BleedingEnemiesShatterOnKillUnique__1
|mod_groups                       = BleedingEnemiesShatterOnKill
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = BleedingEnemiesShatterOnKill
|stat_text                        = Bleeding Enemies you [[Kill]] with [[Hit|Hits]] Shatter
|stat1_id                         = shatter_on_kill_vs_bleeding_enemies
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
