{{Mod
|id                               = EinharMasterSpellAddedColdDamage1
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 30
|name                             = Upgraded
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (10-13) to (19-22) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 10
|stat1_max                        = 13
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 19
|stat2_max                        = 22
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
