{{Mod
|id                               = AvoidFreezeEldritchImplicit1
|mod_groups                       = AvoidFreeze
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = AvoidFreeze
|stat_text                        = (33-35)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 33
|stat1_max                        = 35
|spawn_weight1_tag                = no_tier_6_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = boots
|spawn_weight2_value              = 700
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
