{{Base item
|rarity_id                               = normal
|name                                    = Ambitious Obsession
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The most pathetic person in the world is someone who has sight, but no vision.
|drop_level                              = 68
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardAmbitiousObsession
|stack_size                              = 4
|description                             = {{c|currency|{{il|html=|Skittering Delirium Orb}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
