{{Mod
|id                               = EinharMasterAllResistMinionResist1_
|mod_groups                       = AllResistances
|domain                           = 9
|generation_type                  = 2
|required_level                   = 30
|name                             = of Craft
|mod_type                         = AllResistancesMinionResistances
|stat_text                        = +(4-6)% to all [[Elemental Resistance|Elemental Resistances]]<br>[[Minion|Minions]] have +(5-8)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 4
|stat1_max                        = 6
|stat2_id                         = minion_elemental_resistance_%
|stat2_min                        = 5
|stat2_max                        = 8
|tags                             = elemental, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
